,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,Active Cases,Serious Cases
57,57,Denmark,"12,391",,600 ,,"11,282",509,6
58,58,S. Korea,"12,373",+67,280 ,,"10,856","1,237",15
59,59,Azerbaijan,"11,767",,143 ,,"6,325","5,299",66
60,60,Algeria,"11,504",,825 ,,"8,196","2,483",54
61,61,Honduras,"11,258",+519,349 ,+6,"1,214","9,695",13
62,62,Cameroon,"10,638",,282 ,,"7,548","2,808",28
63,63,Czechia,"10,406",,335 ,,"7,473","2,598",9
64,64,Morocco,"9,613",,213 ,,"8,117","1,283",7
65,65,Norway,"8,726",,244 ,,"8,138",344,5
66,66,Malaysia,"8,535",,121 ,,"8,070",344,3
67,67,Sudan,"8,316",,506 ,,"3,086","4,724",
68,68,Nepal,"8,274",,22 ,,"1,402","6,850",
69,69,Australia,"7,410",+1,102 ,,"6,881",427,2
70,70,Finland,"7,133",,326 ,,"6,200",607,2
71,71,Ivory Coast,"6,874",,49 ,,"2,942","3,883",
72,72,Uzbekistan,"5,946",,19 ,,"4,273","1,654",12
73,73,Senegal,"5,639",,79 ,,"3,788","1,772",17
74,74,DRC,"5,477",,122 ,,719,"4,636",
75,75,Tajikistan,"5,338",,51 ,,"3,830","1,457",
76,76,Haiti,"4,980",+64,87 ,+3,24,"4,869",
77,77,Guinea,"4,904",,27 ,,"3,522","1,355",24
78,78,North Macedonia,"4,820",,222 ,,"1,863","2,735",34
79,79,Djibouti,"4,565",,45 ,,"3,565",955,
